"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINECODE","INSPDATE","ACTION","VIOLCODE","SCORE","CURRENTGRADE","GRADEDATE","RECORDDATE"
"40363945","DOMINO'S PIZZA","1","148       ","WEST   72 STREET                                  ","10023","2125010200","62","2013-04-05 00:00:00","D","10F","13","A","2013-04-05 00:00:00","2013-12-26 06:01:07.740000000"
"40364179","SPOON BREAD CATERING","1","364       ","WEST  110 STREET                                  ","10025","2128656744","03","2013-03-25 00:00:00","U","02G","12","A","2013-03-25 00:00:00","2013-12-26 06:01:07.740000000"
"40363630","LORENZO & MARIA'S","1","1418      ","THIRD AVENUE                                      ","10028","2127941080","23","2013-03-18 00:00:00","U","02G","26","B","2013-03-18 00:00:00","2013-12-26 06:01:07.740000000"
"40363644","DOMINO'S PIZZA","1","464","3 AVENUE","10016","2125450200","62","2013-07-09 00:00:00","D","04L","12","A","2013-07-09 00:00:00","2013-12-26 06:01:07.740000000"
"40363644","DOMINO'S PIZZA","1","464","3 AVENUE","10016","2125450200","62","2013-07-09 00:00:00","D","10F","12","A","2013-07-09 00:00:00","2013-12-26 06:01:07.740000000"
"40363920","GOLDEN PAVILLION","3","976","RUTLAND ROAD","11212","7187357707","20","2013-03-26 00:00:00","D","02G","10","A","2013-03-26 00:00:00","2013-12-26 06:01:07.740000000"
"40363945","DOMINO'S PIZZA","1","148       ","WEST   72 STREET                                  ","10023","2125010200","62","2013-04-05 00:00:00","D","10A","13","A","2013-04-05 00:00:00","2013-12-26 06:01:07.740000000"
"40363945","DOMINO'S PIZZA","1","148       ","WEST   72 STREET                                  ","10023","2125010200","62","2013-04-05 00:00:00","D","10B","13","A","2013-04-05 00:00:00","2013-12-26 06:01:07.740000000"
"40364139","MITCHEL LONDON FOODS","1","22A       ","EAST   65 STREET                                  ","10065","2127372850","03","2013-08-22 00:00:00","D","10F","9","A","2013-08-22 00:00:00","2013-12-26 06:01:07.740000000"
"40364299","B & M HOT BAGEL & GROCERY","5","203","GIFFORDS LANE","10308","7189668445","27","2013-01-24 00:00:00","D","04L","13","A","2013-01-24 00:00:00","2013-12-26 06:01:07.740000000"
"40364299","B & M HOT BAGEL & GROCERY","5","203","GIFFORDS LANE","10308","7189668445","27","2013-01-24 00:00:00","D","09C","13","A","2013-01-24 00:00:00","2013-12-26 06:01:07.740000000"
"40364304","TEXAS ROTISSERIE","1","94","FULTON STREET","10038","2125666666","10","2013-05-02 00:00:00","D","10B","13","A","2013-05-02 00:00:00","2013-12-26 06:01:07.740000000"
"40364355","PALM RESTAURANT","1","837","2 AVENUE","10017","2126872953","03","2013-09-26 00:00:00","D","04H","12","A","2013-09-26 00:00:00","2013-12-26 06:01:07.740000000"
"40356018","RIVIERA CATERER","3","2780","STILLWELL AVENUE","11224","7183723031","03","2013-06-05 00:00:00","D","10F","7","A","2013-06-05 00:00:00","2013-12-26 06:01:07.740000000"
"40356442","KOSHER ISLAND","5","2206","VICTORY BOULEVARD","10314","7186985800","50","2013-04-04 00:00:00","D","10F","12","A","2013-04-04 00:00:00","2013-12-26 06:01:07.740000000"
"40356483","WILKEN'S FINE FOOD","3","7114","AVENUE U","11234","7184443838","27","2013-08-03 00:00:00","D","04H","8","A","2013-08-03 00:00:00","2013-12-26 06:01:07.740000000"
"40356649","REGINA CATERERS","3","6409","11 AVENUE","11219","7182560829","03","2013-07-30 00:00:00","D","04L","12","A","2013-07-30 00:00:00","2013-12-26 06:01:07.740000000"
"40358429","MAY MAY KITCHEN","3","1269","SUTTER AVENUE","11208","7182354485","20","2013-08-28 00:00:00","D","02B","7","A","2013-08-28 00:00:00","2013-12-26 06:01:07.740000000"
"40359480","1 EAST 66TH STREET RESTAURANT","1","1         ","EAST   66 STREET                                  ","10065","2128793900","03","2013-05-03 00:00:00","D","10F","4","A","2013-05-03 00:00:00","2013-12-26 06:01:07.740000000"
"40364262","TERMINAL CAFE/YANKEE CLIPPER","4","LA","GUARDIA AIRPORT PARKING","11371","9172998133","03","2013-05-10 00:00:00","D","08B","10","A","2013-05-10 00:00:00","2013-12-26 06:01:07.740000000"
"30191841","DJ REYNOLDS PUB AND RESTAURANT","1","351       ","WEST   57 STREET                                  ","10019","2122452912","03","2013-07-22 00:00:00","D","02G","11","A","2013-07-22 00:00:00","2013-12-26 06:01:07.740000000"
"40356068","TOV KOSHER KITCHEN","4","97-22","63 ROAD","11374","7188967788","50","2013-01-17 00:00:00","D","06D","13","A","2013-01-17 00:00:00","2013-12-26 06:01:07.740000000"
"40357217","WILD ASIA","2","2300","SOUTHERN BOULEVARD","10460","7182207846","03","2013-06-19 00:00:00","D","10F","4","A","2013-06-19 00:00:00","2013-12-26 06:01:07.740000000"
"40364439","SEVILLE RESTAURANT","1","62","CHARLES STREET","10014","2129293189","53","2013-05-20 00:00:00","D","06D","11","A","2013-05-20 00:00:00","2013-12-26 06:01:07.740000000"
"40364443","CRIMINAL COURT BLDG CAFETERIA","1","100","CENTRE STREET","10013","2129621037","03","2013-03-08 00:00:00","D","06C","12","A","2013-03-08 00:00:00","2013-12-26 06:01:07.740000000"
"40364518","7B BAR","1","108","AVENUE B","10009","2126776742","03","2012-10-22 00:00:00","D","10F","12","A","2012-10-22 00:00:00","2013-12-26 06:01:07.740000000"
"40356442","KOSHER ISLAND","5","2206","VICTORY BOULEVARD","10314","7186985800","50","2013-04-04 00:00:00","D","06C","12","A","2013-04-04 00:00:00","2013-12-26 06:01:07.740000000"
"40359480","1 EAST 66TH STREET RESTAURANT","1","1         ","EAST   66 STREET                                  ","10065","2128793900","03","2013-05-03 00:00:00","D","09A","4","A","2013-05-03 00:00:00","2013-12-26 06:01:07.740000000"
"40364304","TEXAS ROTISSERIE","1","94","FULTON STREET","10038","2125666666","10","2013-05-02 00:00:00","D","10F","13","A","2013-05-02 00:00:00","2013-12-26 06:01:07.740000000"
"40364335","PETER LUGER STEAKHOUSE","3","178","BROADWAY","11211","7183877400","78","2013-09-28 00:00:00","D","02G","10","A","2013-09-28 00:00:00","2013-12-26 06:01:07.740000000"
"40364363","MANHEM CLUB","2","658","CLARENCE AVE","10465","7188228965","03","2012-07-11 00:00:00","D","08A","10","A","2012-07-11 00:00:00","2013-12-26 06:01:07.740000000"
"30191841","DJ REYNOLDS PUB AND RESTAURANT","1","351       ","WEST   57 STREET                                  ","10019","2122452912","03","2013-07-22 00:00:00","D","10F","11","A","2013-07-22 00:00:00","2013-12-26 06:01:07.740000000"
"40356018","RIVIERA CATERER","3","2780","STILLWELL AVENUE","11224","7183723031","03","2013-06-05 00:00:00","D","09B","7","A","2013-06-05 00:00:00","2013-12-26 06:01:07.740000000"
"40356151","BRUNOS ON THE BOULEVARD","4","88-25","ASTORIA BOULEVARD","11369","7183350505","03","2013-03-02 00:00:00","D","10I","7","A","2013-03-02 00:00:00","2013-12-26 06:01:07.740000000"
"40359705","NATHAN'S FAMOUS","3","1310","SURF AVENUE","11224","7183332202","41","2013-12-03 00:00:00","D","10F","5","A","2013-12-03 00:00:00","2013-12-26 06:01:07.740000000"
"40360076","CARVEL ICE CREAM","3","203","CHURCH AVENUE","11218","7184389501","43","2013-01-02 00:00:00","D","10F","13","A","2013-01-02 00:00:00","2013-12-26 06:01:07.740000000"
"40361708","BULLY'S DELI","1","759","BROADWAY","10003","2122549755","27","2013-01-04 00:00:00","D","10A","11","A","2013-01-04 00:00:00","2013-12-26 06:01:07.740000000"
"30075445","MORRIS PARK BAKE SHOP","2","1007      ","MORRIS PARK AVE                                   ","10462","7188924968","08","2013-09-11 00:00:00","U","04L","6","A","2013-09-11 00:00:00","2013-12-26 06:01:07.740000000"
"40280083","INTERCONTINENTAL THE BARCLAY","1","111","EAST 48 STREET","10017","2129063134","03","2013-01-09 00:00:00","D","02B","12","A","2013-01-09 00:00:00","2013-12-26 06:01:07.740000000"
"40356018","RIVIERA CATERER","3","2780","STILLWELL AVENUE","11224","7183723031","03","2013-06-05 00:00:00","D","10B","7","A","2013-06-05 00:00:00","2013-12-26 06:01:07.740000000"
"40364529","BEN-BEST DELI & RESTAURANT","4","96-40","QUEENS BOULEVARD","11374","7188971700","50","2013-09-30 00:00:00","D","10B","9","A","2013-09-30 00:00:00","2013-12-26 06:01:07.740000000"
"40364572","DONOHUE'S STEAK HOUSE","1","845       ","LEXINGTON AVENUE                                  ","10065","2127440938","78","2013-03-21 00:00:00","D","10F","8","A","2013-03-21 00:00:00","2013-12-26 06:01:07.740000000"
"40364576","TOUT VA BIEN","1","311","WEST   51 STREET","10019","2122650190","35","2013-07-17 00:00:00","F","04A","36","C","2013-07-17 00:00:00","2013-12-26 06:01:07.740000000"
"40364691","DINING ROOM","1","1-A","EAST 77 STREET","10075","2127341468","23","2013-10-10 00:00:00","D","06C","13","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364691","DINING ROOM","1","1-A","EAST 77 STREET","10075","2127341468","23","2013-10-10 00:00:00","D","09A","13","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364715","OLD HOMESTEAD","1","56","9 AVENUE","10011","2122429040","03","2013-06-10 00:00:00","D","10F","12","A","2013-06-10 00:00:00","2013-12-26 06:01:07.740000000"
"40361521","GLORIOUS FOOD","1","522","EAST 74 STREET","10021","2127372140","03","2013-12-19 00:00:00","U","06C","25","Z","2013-12-19 00:00:00","2013-12-26 06:01:07.740000000"
"40362264","P & S DELI GROCERY","1","730","COLUMBUS AVENUE","10025","2129323030","03","2013-08-28 00:00:00","D","02G","9","A","2013-08-28 00:00:00","2013-12-26 06:01:07.740000000"
"40356649","REGINA CATERERS","3","6409","11 AVENUE","11219","7182560829","03","2013-07-30 00:00:00","D","08A","12","A","2013-07-30 00:00:00","2013-12-26 06:01:07.740000000"
"40356649","REGINA CATERERS","3","6409","11 AVENUE","11219","7182560829","03","2013-07-30 00:00:00","D","08B","12","A","2013-07-30 00:00:00","2013-12-26 06:01:07.740000000"
"40357217","WILD ASIA","2","2300","SOUTHERN BOULEVARD","10460","7182207846","03","2013-06-19 00:00:00","D","10B","4","A","2013-06-19 00:00:00","2013-12-26 06:01:07.740000000"
"40360076","CARVEL ICE CREAM","3","203","CHURCH AVENUE","11218","7184389501","43","2013-01-02 00:00:00","D","06F","13","A","2013-01-02 00:00:00","2013-12-26 06:01:07.740000000"
"40361322","CARVEL ICE CREAM","4","265-15    ","HILLSIDE AVENUE                                   ","11004","7183430392","43","2013-09-18 00:00:00","D","08A","10","A","2013-09-18 00:00:00","2013-12-26 06:01:07.740000000"
"40361390","NORDIC DELICACIES","3","6909","3 AVENUE","11209","7187481874","27","2013-01-10 00:00:00","D","09B","10","A","2013-01-10 00:00:00","2013-12-26 06:01:07.740000000"
"40363021","DOWNTOWN DELI","1","107","CHURCH STREET","10007","2122332911","03","2013-08-26 00:00:00","D","10F","9","A","2013-08-26 00:00:00","2013-12-26 06:01:07.740000000"
"40363098","DUNKIN' DONUTS","3","56","COURT STREET","11201","7186252068","29","2013-01-08 00:00:00","D","08A","11","A","2013-01-08 00:00:00","2013-12-26 06:01:07.740000000"
"40363117","MEJLANDER & MULGANNON","3","7615","5 AVENUE","11209","7182386666","03","2013-10-24 00:00:00","D","10E","11","A","2013-10-24 00:00:00","2013-12-26 06:01:07.740000000"
"30075445","MORRIS PARK BAKE SHOP","2","1007      ","MORRIS PARK AVE                                   ","10462","7188924968","08","2013-09-11 00:00:00","U","04N","6","A","2013-09-11 00:00:00","2013-12-26 06:01:07.740000000"
"40280083","INTERCONTINENTAL THE BARCLAY","1","111","EAST 48 STREET","10017","2129063134","03","2013-01-09 00:00:00","D","10E","12","A","2013-01-09 00:00:00","2013-12-26 06:01:07.740000000"
"40364439","SEVILLE RESTAURANT","1","62","CHARLES STREET","10014","2129293189","53","2013-05-20 00:00:00","D","10F","11","A","2013-05-20 00:00:00","2013-12-26 06:01:07.740000000"
"40364449","GOTTSCHEER HALL","4","657","FAIRVIEW AVENUE","11385","7183663030","37","2013-03-12 00:00:00","D","10A","2","A","2013-03-12 00:00:00","2013-12-26 06:01:07.740000000"
"40364510","DANISH ATHLETIC CLUB","3","735","65 STREET","11220","7187487844","03","2013-04-03 00:00:00","F","04C","50","C","2013-04-03 00:00:00","2013-12-26 06:01:07.740000000"
"40364518","7B BAR","1","108","AVENUE B","10009","2126776742","03","2012-10-22 00:00:00","D","10B","12","A","2012-10-22 00:00:00","2013-12-26 06:01:07.740000000"
"40364529","BEN-BEST DELI & RESTAURANT","4","96-40","QUEENS BOULEVARD","11374","7188971700","50","2013-09-30 00:00:00","D","10F","9","A","2013-09-30 00:00:00","2013-12-26 06:01:07.740000000"
"40363333","TONY'S DELI","4","10-69","WYCKOFF AVENUE","11385","7183867925","27","2013-12-12 00:00:00","D","10F","8","A","2013-12-12 00:00:00","2013-12-26 06:01:07.740000000"
"40363427","BAGELS N BUNS","5","2491","VICTORY BOULEVARD","10314","7187611900","27","2013-12-05 00:00:00","D","10B","10","A","2013-12-05 00:00:00","2013-12-26 06:01:07.740000000"
"40363590","SNACK TIME GRILL","4","87-69","LEFFERTS BOULEVARD","11418","7188057835","03","2013-08-14 00:00:00","D","10B","11","A","2013-08-14 00:00:00","2013-12-26 06:01:07.740000000"
"40363630","LORENZO & MARIA'S","1","1418      ","THIRD AVENUE                                      ","10028","2127941080","23","2013-03-18 00:00:00","U","08A","26","B","2013-03-18 00:00:00","2013-12-26 06:01:07.740000000"
"30112340","WENDY'S","3","469","FLATBUSH AVENUE","11225","7182875005","39","2013-04-30 00:00:00","D","04H","12","A","2013-04-30 00:00:00","2013-12-26 06:01:07.740000000"
"30112340","WENDY'S","3","469","FLATBUSH AVENUE","11225","7182875005","39","2013-04-30 00:00:00","D","10F","12","A","2013-04-30 00:00:00","2013-12-26 06:01:07.740000000"
"40280083","INTERCONTINENTAL THE BARCLAY","1","111","EAST 48 STREET","10017","2129063134","03","2013-01-09 00:00:00","D","10B","12","A","2013-01-09 00:00:00","2013-12-26 06:01:07.740000000"
"40356151","BRUNOS ON THE BOULEVARD","4","88-25","ASTORIA BOULEVARD","11369","7183350505","03","2013-03-02 00:00:00","D","06C","7","A","2013-03-02 00:00:00","2013-12-26 06:01:07.740000000"
"40356442","KOSHER ISLAND","5","2206","VICTORY BOULEVARD","10314","7186985800","50","2013-04-04 00:00:00","D","06D","12","A","2013-04-04 00:00:00","2013-12-26 06:01:07.740000000"
"40356731","TASTE THE TROPICS ICE CREAM","3","1839","NOSTRAND AVENUE","11226","7188560821","43","2013-07-10 00:00:00","D","06C","8","A","2013-07-10 00:00:00","2013-12-26 06:01:07.740000000"
"40356731","TASTE THE TROPICS ICE CREAM","3","1839","NOSTRAND AVENUE","11226","7188560821","43","2013-07-10 00:00:00","D","10B","8","A","2013-07-10 00:00:00","2013-12-26 06:01:07.740000000"
"40360045","SEUDA FOODS","3","705","KINGS HIGHWAY","11223","7183751500","50","2013-10-10 00:00:00","D","04L","13","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40361390","NORDIC DELICACIES","3","6909","3 AVENUE","11209","7187481874","27","2013-01-10 00:00:00","D","02G","10","A","2013-01-10 00:00:00","2013-12-26 06:01:07.740000000"
"40361606","THE MOVABLE FEAST","3","284","PROSPECT PARK WEST","11215","7189652900","03","2013-11-14 00:00:00","D","10F","2","A","2013-11-14 00:00:00","2013-12-26 06:01:07.740000000"
"40361998","STEVE CHU'S DELI & GROCERY","4","3406","10 STREET","11106","7187268888","27","2013-03-13 00:00:00","D","10F","12","A","2013-03-13 00:00:00","2013-12-26 06:01:07.740000000"
"40364920","RIZZO'S FINE PIZZA","4","30-13","STEINWAY STREET","11103","7187219862","62","2013-10-10 00:00:00","D","06D","12","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364920","RIZZO'S FINE PIZZA","4","30-13","STEINWAY STREET","11103","7187219862","62","2013-10-10 00:00:00","D","06E","12","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40365043","SHELL LANES","3","1","BOUCK COURT","11223","7183366700","03","2013-10-23 00:00:00","F","08A","28","C","2013-10-23 00:00:00","2013-12-26 06:01:07.740000000"
"40360045","SEUDA FOODS","3","705","KINGS HIGHWAY","11223","7183751500","50","2013-10-10 00:00:00","D","08C","13","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40362432","HO MEI RESTAURANT","4","103-05","37 AVENUE","11368","7187796903","20","2013-11-12 00:00:00","D","10F","5","A","2013-11-12 00:00:00","2013-12-26 06:01:07.740000000"
"40362098","HARRIET'S KITCHEN","1","502","AMSTERDAM AVENUE","10024","2127210045","18","2013-07-18 00:00:00","F","04N","13","A","2013-07-18 00:00:00","2013-12-26 06:01:07.740000000"
"40362274","ANGELIKA FILM CENTER","1","18","WEST HOUSTON STREET","10012","2129952570","03","2013-04-05 00:00:00","D","10F","4","A","2013-04-05 00:00:00","2013-12-26 06:01:07.740000000"
"40362344","WHITE CASTLE","3","531","MYRTLE AVENUE","11205","7188578132","39","2013-03-18 00:00:00","D","10F","8","A","2013-03-18 00:00:00","2013-12-26 06:01:07.740000000"
"40362869","SHASHEMENE INT'L RESTAURA","3","195","EAST   56 STREET","11203","3474300871","17","2013-05-08 00:00:00","D","10F","7","A","2013-05-08 00:00:00","2013-12-26 06:01:07.740000000"
"40362715","THE COUNTRY CAFE","1","60","WALL STREET","10005","3474279132","83","2013-09-18 00:00:00","D","06B","13","A","2013-09-18 00:00:00","2013-12-26 06:01:07.740000000"
"40363093","CARVEL ICE CREAM","2","1006","EAST  233 STREET","10466","7186526827","43","2013-09-05 00:00:00","U","04A","10","A","2013-09-05 00:00:00","2013-12-26 06:01:07.740000000"
"40363098","DUNKIN' DONUTS","3","56","COURT STREET","11201","7186252068","29","2013-01-08 00:00:00","D","10B","11","A","2013-01-08 00:00:00","2013-12-26 06:01:07.740000000"
"40364149","AUNTIE ANNE'S PRETZELS TRACK 18","1","0         ","34 STREET                                         ","10001","2122396882","07","2013-09-16 00:00:00","D","10F","7","A","2013-09-16 00:00:00","2013-12-26 06:01:07.740000000"
"40365280","COMO PIZZA","1","4035","BROADWAY","10032","2129287867","62","2013-02-04 00:00:00","D","10F","10","A","2013-02-04 00:00:00","2013-12-26 06:01:07.740000000"
"40361521","GLORIOUS FOOD","1","522","EAST 74 STREET","10021","2127372140","03","2013-12-19 00:00:00","U","04L","25","Z","2013-12-19 00:00:00","2013-12-26 06:01:07.740000000"
"40361708","BULLY'S DELI","1","759","BROADWAY","10003","2122549755","27","2013-01-04 00:00:00","D","02G","11","A","2013-01-04 00:00:00","2013-12-26 06:01:07.740000000"
"40361998","STEVE CHU'S DELI & GROCERY","4","3406","10 STREET","11106","7187268888","27","2013-03-13 00:00:00","D","06D","12","A","2013-03-13 00:00:00","2013-12-26 06:01:07.740000000"
"40362137","WHITE CASTLE","3","850","4 AVENUE","11232","7184993040","39","2013-01-08 00:00:00","D","10F","2","A","2013-01-08 00:00:00","2013-12-26 06:01:07.740000000"
"40362274","ANGELIKA FILM CENTER","1","18","WEST HOUSTON STREET","10012","2129952570","03","2013-04-05 00:00:00","D","10A","4","A","2013-04-05 00:00:00","2013-12-26 06:01:07.740000000"
"40364296","HAPPY GARDEN","2","277","EAST KINGSBRIDGE ROAD","10458","7182955588","20","2013-09-26 00:00:00","D","08A","10","A","2013-09-26 00:00:00","2013-12-26 06:01:07.740000000"
"40364335","PETER LUGER STEAKHOUSE","3","178","BROADWAY","11211","7183877400","78","2013-09-28 00:00:00","D","10F","10","A","2013-09-28 00:00:00","2013-12-26 06:01:07.740000000"
"40364347","METROPOLITAN CLUB","1","1","EAST   60 STREET","10022","2128387400","03","2013-04-02 00:00:00","D","08A","13","A","2013-04-02 00:00:00","2013-12-26 06:01:07.740000000"
"40363151","OLIVE'S","1","120","PRINCE STREET","10012","2129410111","08","2013-09-18 00:00:00","D","08A","13","A","2013-09-18 00:00:00","2013-12-26 06:01:07.740000000"
"40363630","LORENZO & MARIA'S","1","1418      ","THIRD AVENUE                                      ","10028","2127941080","23","2013-03-18 00:00:00","U","02B","26","B","2013-03-18 00:00:00","2013-12-26 06:01:07.740000000"
"40364681","TOWNE CAFE","3","2602","EAST   15 STREET","11235","7186469827","03","2013-04-27 00:00:00","D","08C","9","A","2013-04-27 00:00:00","2013-12-26 06:01:07.740000000"
"40363021","DOWNTOWN DELI","1","107","CHURCH STREET","10007","2122332911","03","2013-08-26 00:00:00","D","06F","9","A","2013-08-26 00:00:00","2013-12-26 06:01:07.740000000"
"40363098","DUNKIN' DONUTS","3","56","COURT STREET","11201","7186252068","29","2013-01-08 00:00:00","D","04M","11","A","2013-01-08 00:00:00","2013-12-26 06:01:07.740000000"
"40363117","MEJLANDER & MULGANNON","3","7615","5 AVENUE","11209","7182386666","03","2013-10-24 00:00:00","D","02G","11","A","2013-10-24 00:00:00","2013-12-26 06:01:07.740000000"
"40363289","HAPPY GARDEN","2","1236","238 SPOFFORD AVE","10474","7186171818","20","2013-01-08 00:00:00","D","06A","10","A","2013-01-08 00:00:00","2013-12-26 06:01:07.740000000"
"40363289","HAPPY GARDEN","2","1236","238 SPOFFORD AVE","10474","7186171818","20","2013-01-08 00:00:00","D","06B","10","A","2013-01-08 00:00:00","2013-12-26 06:01:07.740000000"
"40363298","CAFE METRO","1","625","8 AVENUE","10018","2127149342","03","2012-12-07 00:00:00","D","10F","4","A","2012-12-07 00:00:00","2013-12-26 06:01:07.740000000"
"40362715","THE COUNTRY CAFE","1","60","WALL STREET","10005","3474279132","83","2013-09-18 00:00:00","D","10B","13","A","2013-09-18 00:00:00","2013-12-26 06:01:07.740000000"
"40362869","SHASHEMENE INT'L RESTAURA","3","195","EAST   56 STREET","11203","3474300871","17","2013-05-08 00:00:00","D","10B","7","A","2013-05-08 00:00:00","2013-12-26 06:01:07.740000000"
"40365348","PANCHITO'S","1","103","MACDOUGAL STREET","10012","2124735239","55","2013-10-10 00:00:00","D","10H","9","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40365361","Princeton Club","1","15","WEST   43 STREET","10036","2125961272","03","2013-07-19 00:00:00","F","02G","29","C","2013-07-19 00:00:00","2013-12-26 06:01:07.740000000"
"40363834","CARVEL ICE CREAM","5","1111","HYLAN BOULEVARD","10305","7188167807","43","2013-02-26 00:00:00","D","10B","5","A","2013-02-26 00:00:00","2013-12-26 06:01:07.740000000"
"40364286","PLAZA BAGELS & DELI","5","73","NEW DORP PLAZA","10306","7183513906","27","2013-11-07 00:00:00","D","02G","12","A","2013-11-07 00:00:00","2013-12-26 06:01:07.740000000"
"40364296","HAPPY GARDEN","2","277","EAST KINGSBRIDGE ROAD","10458","7182955588","20","2013-09-26 00:00:00","D","04M","10","A","2013-09-26 00:00:00","2013-12-26 06:01:07.740000000"
"40364373","ISLE OF CAPRI RESTURANT","1","1028      ","3 AVENUE                                          ","10065","2127581902","48","2013-05-03 00:00:00","D","04H","10","A","2013-05-03 00:00:00","2013-12-26 06:01:07.740000000"
"40364389","OLD TOWN BAR & RESTAURANT","1","45","EAST   18 STREET","10003","2125296732","03","2013-10-10 00:00:00","D","10F","9","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364439","SEVILLE RESTAURANT","1","62","CHARLES STREET","10014","2129293189","53","2013-05-20 00:00:00","D","09B","11","A","2013-05-20 00:00:00","2013-12-26 06:01:07.740000000"
"40364510","DANISH ATHLETIC CLUB","3","735","65 STREET","11220","7187487844","03","2013-04-03 00:00:00","F","04M","50","C","2013-04-03 00:00:00","2013-12-26 06:01:07.740000000"
"40364510","DANISH ATHLETIC CLUB","3","735","65 STREET","11220","7187487844","03","2013-04-03 00:00:00","F","10F","50","C","2013-04-03 00:00:00","2013-12-26 06:01:07.740000000"
"40363333","TONY'S DELI","4","10-69","WYCKOFF AVENUE","11385","7183867925","27","2013-12-12 00:00:00","D","06C","8","A","2013-12-12 00:00:00","2013-12-26 06:01:07.740000000"
"40363590","SNACK TIME GRILL","4","87-69","LEFFERTS BOULEVARD","11418","7188057835","03","2013-08-14 00:00:00","D","10F","11","A","2013-08-14 00:00:00","2013-12-26 06:01:07.740000000"
"40363630","LORENZO & MARIA'S","1","1418      ","THIRD AVENUE                                      ","10028","2127941080","23","2013-03-18 00:00:00","U","04L","26","B","2013-03-18 00:00:00","2013-12-26 06:01:07.740000000"
